credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary
775,France,Male,28,9,166751.55,1,1,0,223996.515
681,Germany,Male,48,5,209571.6,2,0,0,109600.08
564,Germany,Female,32,10,209812.8,2,1,0,23067.345
646,Germany,Female,44,2,169595.745,1,0,0,79608.735
670,France,Female,50,8,207510.09,1,0,1,4738.725
751,France,Male,43,1,172461.36000000002,1,1,0,188880.81
544,France,Female,33,6,0.0,2,1,1,186169.56
639,France,Female,38,5,0.0,2,0,0,140574.57
635,Germany,Female,65,5,175988.31,1,1,0,233699.79
672,France,Female,28,6,0.0,1,0,1,13222.035
639,France,Female,35,8,0.0,1,0,0,246680.97000000003
697,France,Female,25,1,0.0,2,0,0,131704.98
850,Spain,Male,44,8,0.0,2,1,1,275425.98
748,France,Female,34,8,0.0,2,1,0,80376.045
463,Spain,Female,35,2,0.0,2,1,1,2926.395
572,France,Female,30,6,0.0,1,0,1,262537.90499999997
741,Spain,Male,50,1,118106.415,1,1,1,19528.44
646,Spain,Male,25,5,274315.32,2,1,1,63806.384999999995
805,Germany,Male,50,9,195035.07,1,1,0,94484.73
637,France,Male,36,2,228910.23,1,1,1,107539.2
651,France,Male,28,7,0.0,2,1,0,1235.94
672,France,Male,28,4,250903.47000000003,1,1,1,254203.95
493,France,Male,54,3,251747.82,2,1,0,225239.925
524,Germany,Male,29,9,216431.4,2,1,0,48094.95
624,Germany,Female,45,5,227782.995,1,1,0,103191.225
569,Spain,Female,51,3,0.0,3,1,0,112627.44
677,France,Female,27,2,0.0,2,0,1,172028.88
464,Germany,Male,37,4,233991.225,1,0,0,215498.16
718,Germany,Male,26,7,221290.545,1,0,0,76649.34
594,France,Female,53,4,0.0,1,1,0,8113.11
574,France,Male,33,8,150400.54499999998,1,1,0,154509.405
478,Spain,Male,48,0,124930.575,2,0,1,66221.92499999999
615,Spain,Male,41,4,0.0,1,0,1,223918.44
651,Spain,Male,45,4,0.0,2,0,0,289513.815
465,Germany,Male,53,1,176157.255,1,0,0,112348.2
558,France,Female,56,7,181852.575,2,1,1,174379.65000000002
540,Germany,Male,37,3,194947.77,1,0,0,29061.120000000003
568,Germany,Male,46,8,226255.38,1,0,0,96775.2
630,France,Male,31,0,0.0,2,1,1,51712.71
523,Germany,Male,60,1,245841.525,1,0,1,85592.565
678,France,Female,48,2,0.0,2,1,1,48452.82
438,France,Male,38,2,0.0,2,1,0,205289.325
544,France,Male,44,1,0.0,2,0,0,103866.36000000002
595,Germany,Male,34,2,131951.13,2,0,1,234464.27999999997
678,France,Male,26,3,0.0,2,1,0,7483.995
850,France,Female,36,6,0.0,2,1,1,285292.42500000005
589,Germany,Female,20,2,181639.935,2,1,0,5294.58
785,Spain,Female,31,2,182537.31,2,0,0,122668.08
563,Spain,Male,57,6,0.0,2,1,1,58946.22
602,France,Female,39,6,231181.98,2,1,0,264922.29
591,France,Male,29,6,0.0,2,1,1,163026.97499999998
643,Spain,Male,43,1,0.0,2,1,1,218646.6
605,France,Female,32,5,0.0,2,1,1,63202.92
755,Germany,Male,43,6,247572.75,3,1,0,25394.115
769,Spain,Male,38,6,0.0,2,0,0,156590.66999999998
620,France,Female,33,9,191457.525,1,1,1,289076.355
725,France,Male,31,8,0.0,2,1,1,89475.63
818,Germany,Female,72,8,202935.63,2,1,1,95594.58
624,France,Female,71,4,255378.075,3,1,1,110519.385
669,Germany,Female,35,4,162403.8,2,1,0,262454.88
712,France,Female,32,1,0.0,2,1,0,2555.37
603,Germany,Female,35,9,218435.04,1,1,0,244772.43
597,France,Female,41,4,218714.295,2,1,1,78478.89
580,Germany,Male,76,2,195502.26,2,1,1,77508.12
718,France,Female,39,3,0.0,2,1,1,218032.665
527,Spain,Male,53,8,0.0,1,1,1,77567.355
729,Spain,Female,42,1,0.0,2,1,1,224303.955
746,France,Female,24,4,0.0,1,0,1,141157.5
699,Germany,Female,54,3,166513.98,1,1,1,233858.685
759,France,Female,46,2,0.0,1,1,1,207570.165
748,France,Female,39,3,236057.31,1,0,1,146601.45
698,Spain,Female,63,5,0.0,1,1,1,260365.065
686,France,Male,37,9,201840.93,1,1,0,41394.585
679,France,Male,40,1,0.0,1,1,1,25345.784999999996
682,Germany,Male,36,5,108560.43,2,1,0,55343.985
778,France,Female,34,7,164346.15000000002,1,0,1,169570.215
742,France,Female,25,4,198174.195,2,1,0,194900.25
649,Germany,Male,24,7,151792.845,1,0,0,199636.98
763,France,Male,67,1,224155.09500000003,2,0,1,159424.11000000002
595,Germany,Male,30,9,196023.165,2,1,1,86794.31999999999
628,Germany,Female,51,10,172920.73500000002,2,0,0,18942.915
625,France,Female,36,8,194916.585,2,0,0,298372.19999999995
733,France,Male,36,5,0.0,2,1,1,163691.31
665,Spain,Female,32,10,0.0,1,1,1,33731.175
805,Germany,Male,56,6,227703.435,1,1,0,70186.635
725,France,Male,38,6,0.0,2,1,1,238045.92
554,France,Female,38,3,208097.925,1,1,1,291207.54
675,Spain,Female,35,8,233431.62,1,0,1,52765.965
556,France,Female,54,4,225008.07,1,1,0,235523.25
635,Spain,Female,48,2,0.0,2,1,1,204826.875
601,France,Male,47,1,96645.09,2,0,1,144776.95500000002
600,Germany,Male,53,7,159392.445,1,1,0,140444.49
758,Spain,Male,40,3,0.0,2,0,0,144146.47499999998
606,Germany,Female,41,4,199005.795,1,1,0,234714.54
640,France,Female,67,3,0.0,1,0,1,64446.94499999999
753,Germany,Female,38,1,175972.38,1,1,0,183031.995
559,Spain,Male,38,3,218811.525,1,1,0,84467.08499999999
754,Spain,Female,50,7,220166.16,2,0,1,226028.27999999997
621,Germany,Male,51,4,164968.245,1,0,0,266610.87
654,France,Female,37,5,0.0,1,0,1,107238.42
650,Spain,Male,24,8,163322.595,1,1,0,156739.245
831,Spain,Female,44,10,0.0,1,0,1,71593.995
519,France,Male,39,2,169435.88999999998,2,1,0,146389.74
552,Germany,Female,42,8,155043.21,1,0,1,280304.37
577,Spain,Male,41,4,133523.415,1,0,1,202840.84500000003
576,Spain,Male,45,5,200427.015,1,0,0,202867.305
646,France,Male,40,5,140520.645,2,1,1,269209.89
711,Germany,Female,45,1,146229.22499999998,2,1,0,75915.93000000001
806,Spain,Female,37,2,206691.27,2,0,1,112848.03
670,France,Female,39,8,152892.76499999998,1,0,0,133808.31
679,Spain,Female,28,9,0.0,2,0,1,92642.655
850,Spain,Female,39,6,0.0,2,1,0,155882.145
670,Germany,Female,35,2,119378.94,1,0,1,298204.35
733,France,Female,24,3,242827.485,1,1,1,14425.86
764,France,Female,39,1,193602.81,2,1,1,281857.68
673,France,Female,42,4,0.0,2,1,0,182161.2
588,Germany,Male,49,6,198935.64,3,1,0,54439.41
564,Spain,Male,31,5,182192.805,1,1,1,30648.135
715,France,Male,32,8,262960.98,1,1,0,280576.84500000003
621,France,Male,31,7,204987.915,1,1,1,223033.695
796,Spain,Female,23,3,219876.285,2,0,0,188168.7
672,France,Male,34,6,0.0,1,0,0,34104.090000000004
527,Spain,Female,46,10,197122.14,1,1,0,82421.265
722,France,Female,38,3,0.0,2,0,1,251977.08
596,Germany,Male,34,4,149161.815,2,0,1,7203.405000000001
746,France,Female,32,4,0.0,2,1,1,109364.625
523,France,Female,26,4,0.0,2,1,0,278233.21499999997
624,France,Male,44,3,0.0,2,1,0,132611.26499999998
553,Spain,Male,38,1,271665.195,2,1,0,276816.885
850,Spain,Male,33,3,150714.69,2,1,1,204808.695
599,Germany,Male,33,2,77924.92499999999,2,1,0,127568.88
492,France,Male,35,8,181595.235,1,0,0,128132.22
707,Spain,Male,48,8,132662.46,1,1,1,179854.8
743,France,Female,30,1,190535.085,1,1,1,208171.335
522,France,Male,41,5,216221.52,1,1,1,22184.85
681,Spain,Female,57,2,259959.195,1,0,1,197946.99
826,France,Female,49,0,0.0,1,0,0,268064.97000000003
630,Germany,Female,28,8,159638.625,1,1,1,30517.26
430,Germany,Female,66,6,203088.465,2,1,1,259278.09
806,France,Female,67,1,0.0,2,0,1,155918.37
703,Spain,Male,39,6,229028.1,1,0,0,275484.18
755,Germany,Female,38,1,123125.28,1,0,1,15500.670000000002
612,Spain,Female,63,2,197443.755,2,1,0,183164.37
719,France,Female,54,7,0.0,2,1,1,187562.28
554,Germany,Female,55,0,162715.905,1,0,1,210004.5
683,France,Male,30,4,172169.02500000002,1,0,0,274757.205
749,France,Male,41,5,86353.41,1,1,1,91692.435
724,Spain,Male,36,1,0.0,2,1,0,78693.375
770,Spain,Male,30,8,0.0,2,0,1,76259.775
680,France,Male,37,4,0.0,2,1,0,91861.305
699,France,Female,32,4,165839.19,1,1,1,191144.34
442,France,Male,34,4,0.0,2,1,0,102514.62
529,France,Male,46,8,0.0,1,0,0,189767.91
574,Spain,Male,36,3,0.0,2,1,1,12839.49
605,France,Male,33,9,192229.23,1,0,0,221734.215
515,Germany,Male,45,7,181442.25,3,1,1,58932.165
632,Germany,Male,65,6,194208.495,1,1,1,127769.22
558,France,Male,32,10,157500.345,1,1,0,285029.415
434,Germany,Male,55,8,164008.755,2,1,0,144608.82
525,France,Female,59,6,82992.6,1,1,0,125014.095
640,Germany,Male,23,3,108019.13999999998,1,1,0,241999.695
690,France,Female,36,6,165720.72,1,0,0,121938.495
607,Spain,Male,34,9,198659.985,1,1,0,266621.58
850,France,Female,46,3,0.0,2,1,1,281970.315
780,Germany,Male,34,5,141162.81,2,1,0,265852.815
616,Germany,Female,28,10,157760.98500000002,1,0,1,44753.055
618,Spain,Female,40,8,0.0,2,1,0,120306.57
676,France,Male,29,7,197939.79,1,0,0,283903.21499999997
507,France,Male,33,7,0.0,2,1,1,128116.51499999998
490,France,Male,34,5,184429.35,2,0,0,231541.455
678,France,Male,36,0,161069.52,1,1,1,126690.27
637,Germany,Male,30,6,183962.34,2,1,0,98427.01499999998
602,France,Female,33,8,0.0,2,1,1,169393.11000000002
744,Spain,Female,30,1,186055.92,1,1,1,213316.41
640,France,Female,50,9,176347.54499999998,2,0,0,123839.655
684,France,Female,38,5,199784.1,1,0,0,191082.09
495,Germany,Male,39,8,180378.03,2,1,1,15240.345
559,Germany,Female,28,3,228397.215,1,0,0,96363.465
684,France,Male,38,5,157604.97,2,1,1,297532.92
613,France,Male,42,7,172614.09,1,1,1,118985.415
794,France,Male,30,8,0.0,2,1,1,36170.865
736,France,Female,42,7,175920.345,3,0,0,62881.59
692,Germany,Male,49,6,165810.645,2,0,1,161209.48500000002
703,Spain,Male,36,7,202643.205,1,1,0,215789.49
720,Germany,Male,23,0,281791.77,2,1,1,156180.255
777,Germany,Male,44,3,186983.385,2,0,1,119688.45
653,France,Male,44,8,0.0,2,1,1,231959.58
552,France,Female,38,9,201157.515,1,0,0,86775.15
708,France,Female,34,4,0.0,1,1,1,94302.495
647,France,Female,40,9,0.0,2,0,1,138535.815
597,Germany,Male,52,8,125540.01,2,1,1,241625.295
501,France,Male,42,9,171946.845,1,0,1,137144.61000000002
709,France,Male,44,9,192902.97,1,1,0,175546.8
621,Germany,Female,34,2,136887.78,2,1,0,67286.1
799,France,Male,70,8,105625.125,1,1,1,54725.28
675,France,Female,33,6,0.0,2,1,0,51068.415
561,France,Female,35,5,0.0,2,1,0,89972.43000000001
707,France,Female,42,10,0.0,2,1,1,229416.585
670,France,Male,33,6,132441.90000000002,1,1,0,100468.59
649,Spain,Female,32,7,0.0,1,1,0,43195.98
524,France,Male,28,1,140365.95,1,1,1,77506.23
689,Germany,Female,30,5,204976.335,1,1,1,62798.58
573,Spain,Female,72,8,148148.76,1,1,1,144023.29499999998
657,France,Male,33,1,126464.355,2,0,0,155871.59999999998
686,Spain,Male,39,10,204387.09,1,0,0,133799.26499999998
683,France,Female,29,9,0.0,2,1,1,73274.83499999999
753,Germany,Female,47,1,196741.275,1,1,0,296167.03500000003
520,Spain,Female,30,4,217834.485,2,0,0,217741.44
547,Germany,Male,25,4,147212.355,2,1,1,78464.70000000001
653,France,Male,47,6,0.0,1,1,0,76043.895
648,Spain,Female,28,9,153423.915,1,1,1,236836.665
639,France,Female,37,4,174182.76,2,0,1,272776.11
711,France,Female,25,5,285099.81,1,0,0,77018.08499999999
484,Germany,Female,55,8,224024.37,3,0,0,206279.88
721,France,Male,36,1,232765.245,2,1,1,74480.05500000001
548,Germany,Male,32,2,148479.41999999998,1,1,1,83801.06999999999
679,France,Male,41,8,221590.47000000003,3,1,0,259124.1
553,France,Male,41,1,0.0,2,1,0,135910.965
757,France,Male,36,7,217278.09,1,0,0,196292.925
581,France,Male,54,4,133949.715,1,0,0,8337.705
718,Spain,Male,40,9,0.0,2,0,0,182306.865
625,France,Male,41,6,146494.74,2,1,0,85693.17
744,Spain,Male,39,4,142742.625,1,1,0,29114.655
799,Germany,Male,31,9,231880.38,1,0,1,132907.335
751,Spain,Female,34,8,190642.71,2,0,0,719.3100000000001
781,Germany,Male,35,7,138789.22499999998,2,1,1,260756.31
777,Germany,Female,46,0,161044.2,1,1,0,730.95
704,Spain,Female,24,2,0.0,1,1,0,53400.375
539,France,Female,47,2,190929.06,2,1,1,250394.145
716,France,Female,29,6,0.0,2,1,1,148497.915
670,France,Male,37,2,0.0,2,1,1,81344.61
555,France,Male,40,10,209895.27,1,1,1,158580.135
679,Germany,Female,30,4,116924.535,1,1,1,181727.19
571,France,Male,38,1,182107.56,1,1,1,232266.33
512,Spain,Female,35,5,186871.035,1,1,1,28178.22
697,France,Male,35,5,199631.64,1,1,0,97157.415
424,Spain,Male,34,7,0.0,1,1,1,24375.915
684,France,Female,43,7,0.0,2,1,0,196640.985
697,Spain,Male,62,7,0.0,1,1,0,193782.27
580,Germany,Male,45,8,155611.71,1,1,0,71143.095
600,France,Female,32,7,148316.925,1,1,0,199459.815
521,France,Male,37,5,158764.88999999998,2,1,1,127362.3
664,Spain,Male,44,7,116289.99,3,0,0,86007.84
634,France,Male,77,5,0.0,2,1,1,242369.775
445,France,Female,33,7,0.0,2,1,0,183938.52
702,Germany,Female,36,2,157897.32,2,1,1,79364.80500000001
485,France,Male,37,5,0.0,2,0,1,255339.705
582,Germany,Female,40,3,165225.645,1,1,1,287636.475
605,Spain,Female,57,2,0.0,3,1,0,99979.125
628,France,Male,25,7,0.0,2,1,1,293966.625
604,Spain,Female,28,6,0.0,2,1,1,103584.38999999998
724,Germany,Male,31,9,207249.45,1,1,0,19380.645
567,Germany,Male,40,7,183397.86,1,1,0,207829.11
779,Spain,Female,55,0,199943.97000000003,1,1,0,34249.065
785,France,Male,36,2,0.0,1,0,1,92716.65
563,France,Female,32,0,222489.135,1,1,0,287406.40499999997
821,Germany,Female,31,2,103391.355,1,1,1,38167.5
747,France,Female,47,5,209871.9,4,0,1,194946.84
600,Germany,Female,58,8,178084.665,1,0,0,9314.265
625,Spain,Male,32,7,160435.91999999998,1,1,1,202191.02999999997
773,France,Female,41,7,285358.395,1,1,1,86324.475
726,France,Female,53,1,170306.595,1,0,1,42550.815
641,Spain,Female,40,4,151635.405,1,1,1,77554.635
649,France,Female,46,2,0.0,2,1,1,99904.05
434,Spain,Male,33,3,0.0,1,1,1,4109.5650000000005
738,France,Female,38,7,0.0,2,0,0,103841.13
762,Spain,Female,60,10,253381.125,1,1,0,47167.545
507,Germany,Male,31,9,167384.505,1,1,0,225055.785
606,Germany,Female,27,6,258465.495,1,0,1,167173.38
655,Germany,Male,34,7,177042.52500000002,1,1,0,76839.48
697,Germany,Male,51,1,221865.45,1,1,1,80371.70999999999
504,Germany,Male,42,7,196931.04,2,1,1,224546.67
653,France,Female,74,0,181914.48,1,1,1,240522.465
660,Spain,Male,38,6,164803.98,1,1,1,231962.865
652,France,Female,34,6,146153.77500000002,2,1,1,156497.63999999998
669,France,Female,42,9,0.0,2,0,0,203445.48
594,France,Male,35,2,200779.90499999997,1,1,1,98042.49
756,Germany,Male,32,0,164292.24,2,1,1,84264.465
642,France,Female,33,4,126911.01,2,0,1,90089.205
486,Germany,Male,37,1,152157.0,1,0,0,77046.84
804,France,Male,55,7,0.0,2,1,1,178128.90000000002
629,France,Male,59,9,170486.745,1,1,1,175273.185
581,Spain,Female,44,7,283977.24,2,1,0,67539.345
667,France,Male,31,3,149270.865,1,1,1,284485.89
667,Spain,Male,35,4,146377.98,2,0,0,85820.19
679,France,Male,29,3,0.0,2,1,1,95530.59
680,France,Female,43,4,0.0,2,1,1,88141.995
644,Spain,Male,32,3,204989.61,1,1,1,21281.67
571,France,Female,30,4,128633.79,1,1,0,217673.925
627,Spain,Female,35,7,0.0,1,1,0,281577.39
536,France,Male,39,4,0.0,2,1,0,40725.524999999994
599,Spain,Male,33,4,77536.33499999999,1,1,0,167434.13999999998
744,Spain,Male,34,3,0.0,2,1,0,40866.524999999994
709,France,Female,34,2,167504.52,1,1,0,85544.49
653,Germany,Male,31,2,232112.175,2,0,0,37774.515
648,Germany,Male,31,7,188522.265,1,0,1,194971.395
663,Germany,Female,37,8,232955.565,1,1,0,178074.945
613,Germany,Female,43,4,211022.52,1,0,1,30201.105
620,France,Male,28,9,107853.78,1,0,1,285312.34500000003
661,France,Male,51,6,219909.9,1,1,1,102032.85
669,Germany,Male,45,1,185924.625,1,0,0,166322.34
767,Germany,Female,33,1,217129.815,1,1,1,198721.125
491,France,Female,72,6,136927.83000000002,1,1,1,10549.425
653,France,Male,43,0,0.0,2,1,0,41793.87
679,Germany,Male,58,8,188775.795,2,1,1,130512.255
687,France,Male,28,7,162174.99,1,1,1,41116.785
837,France,Female,38,2,0.0,2,1,1,69592.815
850,France,Male,28,8,101459.34,2,1,1,291367.935
663,Spain,Female,53,6,225300.34500000003,1,0,1,226975.90499999997
547,Spain,Female,22,7,211930.725,1,1,0,177214.185
627,France,Female,41,6,0.0,3,1,1,208051.125
707,France,Male,37,1,0.0,2,0,1,9053.265
629,France,Female,43,0,0.0,2,1,1,61895.535
687,France,Female,36,4,145736.94,1,0,1,94777.575
588,France,Female,36,2,0.0,2,1,0,138804.0
502,Germany,Female,33,6,187861.755,2,1,1,238104.105
793,Germany,Male,54,2,193449.195,1,0,0,27950.1
727,Germany,Male,59,5,228871.59,1,1,0,107745.15
632,Spain,Female,32,1,0.0,2,1,0,29288.475
474,Germany,Female,37,5,214032.855,2,1,1,166429.995
850,Germany,Female,31,1,195134.34,2,1,1,6699.3150000000005
584,France,Male,36,9,0.0,1,1,1,158727.76499999998
713,France,Female,32,1,175641.03,1,0,0,224338.245
742,Spain,Male,24,8,0.0,2,1,0,6105.42
607,France,Female,39,10,0.0,3,1,0,199111.695
761,Spain,Female,34,2,0.0,2,1,0,91876.875
600,France,Male,49,7,135328.34999999998,1,1,0,137021.63999999998
650,Spain,Male,42,4,291798.99,1,1,0,256567.965
